Ibge,Asma,Diabetes,DPOC,Hipertensão arterial,Obesidade,Tabagismo,Usuário de álcool,Saúde mental,D.Transmissíveis - Hanseníase,D.Transmissíveis - Tuberculose,Rast. câncer de mama,Rast. câncer do colo do útero,ano,referencia,população
420320,19,238,11,502,52,12,2,216,0,1,2,0,2014,201412,72261
420810,0,7,4,31,2,4,1,132,0,0,0,7,2014,201412,21139
421570,1,9,0,20,2,0,1,1,0,0,0,0,2014,201412,21572
420110,0,10,1,18,10,0,1,3,0,0,5,4,2014,201412,3256
421540,0,12,4,30,4,0,0,16,0,0,0,0,2014,201412,4536
420210,16,62,14,172,26,6,1,104,0,0,5,7,2014,201412,25662
421290,0,34,4,5,0,0,16,77,0,1,0,0,2014,201412,18284
421000,0,7,0,48,4,1,1,77,0,0,6,21,2014,201412,11653
421830,5,30,4,96,1,10,5,42,0,0,0,0,2014,201412,18843
420290,7,56,27,149,41,10,1,134,0,0,4,7,2014,201412,119719
421175,0,18,10,59,2,1,2,23,0,0,0,0,2014,201412,17593
420230,2,36,1,1,0,2,0,3,0,0,0,0,2014,201412,63440
421005,0,0,0,0,0,0,0,0,0,0,0,1,2014,201412,1823
420410,0,0,0,0,0,0,0,1,0,0,0,0,2014,201412,4118
421010,1,1,0,24,0,0,0,1,0,0,0,0,2015,201501,55313
421220,3,42,3,108,7,20,5,72,0,4,0,3,2015,201501,18793
420130,4,40,2,99,38,9,0,23,0,0,33,34,2015,201501,32454
420600,0,6,0,0,0,0,0,0,0,0,0,0,2015,201501,13944
420290,0,7,1,2,1,4,1,19,0,4,32,29,2015,201501,122775
421830,0,2,1,8,1,3,0,7,0,0,0,0,2015,201501,18945
421175,1,31,5,109,10,9,3,60,0,0,0,2,2015,201501,17835
420230,1,7,1,0,0,0,0,0,0,0,0,0,2015,201501,64488
421005,0,0,0,0,0,0,0,1,0,0,0,0,2015,201501,1815
421003,1,25,16,68,14,4,0,123,0,1,25,44,2015,201501,5701
420210,32,228,31,477,90,18,6,256,0,0,57,95,2015,201501,26374
420140,0,0,0,0,1,0,0,1,0,0,0,0,2015,201501,65769
421290,0,4,0,3,0,0,4,86,0,0,2,2,2015,201501,18696
421000,2,10,2,36,12,4,2,36,0,0,33,38,2015,201501,11908
421870,0,0,0,0,0,0,0,1,0,0,0,0,2015,201501,102883
420430,72,452,59,1541,293,74,22,971,0,3,169,209,2015,201501,72642
420610,0,0,0,0,0,0,0,1,0,0,0,0,2015,201501,6478
421280,0,8,0,10,22,0,0,132,0,0,0,0,2015,201501,20617
421630,8,94,3,273,35,18,9,309,0,1,15,11,2015,201501,32720
420830,0,0,0,6,0,0,0,3,0,0,0,0,2015,201501,57089
420320,18,135,11,382,49,20,6,216,1,0,7,3,2015,201501,74434
420810,0,8,0,25,0,3,0,61,0,0,0,0,2015,201501,21263
421570,8,39,4,101,18,6,2,59,0,1,4,2,2015,201501,21920
420110,0,0,0,0,0,0,0,1,0,0,0,0,2015,201501,3253
421540,0,18,3,16,0,2,0,17,0,0,0,0,2015,201501,4576
421700,0,0,0,0,0,0,0,2,0,0,0,0,2015,201501,12441
420850,0,0,0,1,0,0,0,2,0,0,0,0,2015,201501,24061
421320,24,123,6,473,15,0,0,678,0,0,31,0,2015,201501,31181
421725,0,2,2,4,6,0,0,6,0,0,0,90,2015,201501,5373
421970,0,4,0,4,2,1,0,5,0,0,0,0,2015,201501,27630
420460,2,24,0,50,4,29,28,50,0,0,1,1,2015,201501,206918
420075,0,18,0,63,8,0,0,0,0,0,0,1,2015,201502,1987
421580,1,7,0,26,0,0,0,3,0,0,0,0,2015,201502,80936
420280,0,0,2,22,23,3,0,0,0,0,2,0,2015,201502,31765
421010,1,9,1,35,2,0,0,9,0,0,0,0,2015,201502,55313
420287,0,0,0,0,0,0,0,5,0,0,0,0,2015,201502,2639
420690,0,2,0,1,4,0,0,0,0,0,0,0,2015,201502,18412
421220,5,51,3,160,7,3,2,82,0,0,0,2,2015,201502,18793
420130,7,66,5,166,81,14,2,41,0,0,22,24,2015,201502,32454
420910,0,2,0,9,0,0,0,0,0,0,0,0,2015,201502,562151
420600,0,6,0,0,0,0,0,0,0,0,0,0,2015,201502,13944
